sample_id,source
ERS25265507,v1
ERS25313689,v1
ERS25313690,v1
SRS105347,v1
SRS105348,v1
SRS105355,v1
SRS105352,v1
SRS105360,v1
SRS105344,v1
SRS105353,v1
SRS105356,v1
SRS105358,v1
ERS6356204,v1
ERS6356200,v1
ERS6356176,v1
ERS6356201,v1
ERS6356207,v1
ERS6356196,v1
ERS6356199,v1
ERS6356193,v1
ERS6356183,v1
ERS6356190,v1
ERS6356181,v1
ERS6356185,v1
ERS6356182,v1
ERS6356238,v1
ERS6356219,v1
ERS6356224,v1
ERS6356239,v1
ERS6356235,v1
ERS6356210,v1
ERS6356217,v1
ERS6356209,v1
ERS6356218,v1
ERS6356215,v1
ERS6356214,v1
ERS6356230,v1
ERS6356229,v1
ERS6356211,v1
ERS6356231,v1
ERS6356227,v1
ERS6356221,v1
ERS6356223,v1
ERS6356233,v1
ERS6356237,v1
ERS6356236,v1
ERS6356189,v1
ERS6356208,v1
ERS6356205,v1
ERS6356202,v1
ERS6356206,v1
ERS6356188,v1
ERS6356198,v1
ERS6356197,v1
ERS6356192,v1
ERS6356179,v1
ERS6356228,v1
ERS6356180,v1
ERS6356195,v1
ERS6356177,v1
ERS6356208,v1
ERS6356226,v1
ERS6356205,v1
ERS6356236,v1
ERS6356215,v1
ERS6356194,v1
ERS6356178,v1
ERS6356182,v1
ERS6356211,v1
ERS6356220,v1
ERS6356221,v1
ERS6356201,v1
ERS6356185,v1
ERS6356230,v1
ERS6356198,v1
ERS6356213,v1
ERS6356202,v1
ERS6356212,v1
ERS6356200,v1
ERS6356196,v1
ERS6356193,v1
ERS6356237,v1
ERS6356225,v1
ERS6356203,v1
ERS6356209,v1
ERS6356217,v1
ERS6356214,v1
ERS6356186,v1
ERS6356181,v1
ERS6356238,v1
ERS6356197,v1
ERS6356183,v1
ERS6356218,v1
ERS6356219,v1
ERS6356179,v1
SRS8364203,v1
SRS8364207,v1
SRS8364216,v1
SRS8374691,v1
SRS8364215,v1
SRS8364225,v1
SRS8364720,v1
SRS8364224,v1
SRS8364233,v1
SRS8364238,v1
SRS8364726,v1
SRS8364143,v1
SRS8364147,v1
SRS8364338,v1
SRS8364343,v1
SRS8364350,v1
SRS8364344,v1
SRS8374711,v1
SRS8364356,v1
SRS8364549,v1
SRS8374686,v1
SRS8364564,v1
SRS8364175,v1
SRS8364563,v1
SRS8364174,v1
SRS8364211,v1
SRS8364210,v1
SRS8364217,v1
SRS8364191,v1
SRS8364426,v1
SRS8364432,v1
SRS8363976,v1
SRS8363977,v1
SRS8363985,v1
SRS8364008,v1
SRS8374679,v1
SRS8364037,v1
SRS8364032,v1
SRS8364031,v1
SRS8364051,v1
SRS8364053,v1
SRS8364047,v1
SRS8364048,v1
SRS8364061,v1
SRS8364137,v1
SRS8364145,v1
SRS8364173,v1
SRS8364180,v1
SRS8364177,v1
SRS8364181,v1
SRS8364194,v1
SRS8364183,v1
SRS8364609,v1
SRS8364611,v1
SRS8364625,v1
SRS8374717,v1
SRS8364620,v1
SRS8364624,v1
SRS8364623,v1
SRS8364636,v1
SRS8364661,v1
SRS8364673,v1
SRS8364655,v1
SRS8364668,v1
SRS8364672,v1
SRS8364718,v1
SRS8364727,v1
SRS8364725,v1
SRS8364724,v1
SRS8364739,v1
SRS8364732,v1
SRS8374729,v1
SRS8364749,v1
SRS8364761,v1
SRS8364751,v1
SRS8374716,v1
SRS8364463,v1
SRS8374704,v1
SRS8364485,v1
SRS8364646,v1
SRS8364654,v1
SRS8364663,v1
SRS8364670,v1
SRS8364540,v1
SRS8364544,v1
SRS8364555,v1
SRS8364737,v1
SRS8364559,v1
SRS8364247,v1
SRS8364252,v1
SRS8364755,v1
SRS8364253,v1
SRS8364255,v1
SRS8374730,v1
SRS8364762,v1
SRS8364262,v1
SRS8364769,v1
SRS8364763,v1
SRS8364265,v1
SRS8364264,v1
SRS8364275,v1
SRS8364287,v1
SRS8364293,v1
SRS8364290,v1
SRS8364279,v1
SRS8364308,v1
SRS8364333,v1
SRS8364337,v1
SRS8364339,v1
SRS8364348,v1
SRS8364334,v1
SRS8364469,v1
SRS8364365,v1
SRS8364367,v1
SRS8364477,v1
SRS8364371,v1
SRS8364475,v1
SRS8364484,v1
SRS8364382,v1
SRS8364414,v1
SRS8364397,v1
SRS8364423,v1
SRS8364422,v1
SRS8364514,v1
SRS8364435,v1
SRS8364546,v1
SRS8364545,v1
SRS8363982,v1
SRS8364556,v1
SRS8374690,v1
SRS8364557,v1
SRS8364208,v1
SRS8364214,v1
SRS8364218,v1
SRS8364027,v1
SRS8364022,v1
SRS8364226,v1
SRS8364026,v1
SRS8364232,v1
SRS8364237,v1
SRS8364239,v1
SRS8364036,v1
SRS8364230,v1
SRS8364041,v1
SRS8364248,v1
SRS8364244,v1
SRS8364044,v1
SRS8364055,v1
SRS8364260,v1
SRS8364056,v1
SRS8364272,v1
SRS8364050,v1
SRS8364277,v1
SRS8364058,v1
SRS8364291,v1
SRS8364284,v1
SRS8364072,v1
SRS8364292,v1
SRS8364294,v1
SRS8364300,v1
SRS8364304,v1
SRS8364303,v1
SRS8364312,v1
SRS8364318,v1
SRS8364316,v1
SRS8364323,v1
SRS8364325,v1
SRS8364324,v1
SRS8364317,v1
SRS8364115,v1
SRS8364336,v1
SRS8364124,v1
